ID,English,词性,日文释义,中文翻译,英文例句,例句日文,例句中文,熟语/搭配,重要度,复习次数,错误次数,出现频率,反义词,反义词日语翻译,近义词,近义词日语翻译
1169,get married,熟语,結婚する,结婚,She is going to get married to John next month.,彼女は来月ジョンと結婚する予定です。,她下个月要和 John 结婚。,get married,A,0,0,,,,,
1170,get together,熟语,集まる,聚在一起,Shall we get together and talk about our project?,集まって私たちのプロジェクトについて話しませんか。,我们聚一聚谈谈项目好吗？,get together,A,0,0,,,,,
1171,give A a ride,熟语,Aを車に乗せる,开车送A,Would you give me a ride?,車で送ってくれますか。,你能开车送我一程吗？,give A a ride,A,0,0,,,,,
1172,give up ~,熟语,〜をあきらめる,放弃……,This mountain is too high. Let's give up our plan to climb it.,この山は高すぎます。登山計画を断念しましょう。,这座山太高了，我们放弃登山计划吧。,give up ~,A,0,0,,,,,
1173,go against ~,熟语,〜に反する；〜に従わない,违背；反对,"Ann's parents wanted her to go to college, but she went against their wishes and got a job.",アンの両親は彼女を大学に行かせたかったのですが、彼女は両親の望みに反して仕事に就きました。,Ann 的父母希望她上大学，但她违背他们的愿望去工作了。,go against ~,A,0,0,,,,,
1174,go ahead,熟语,先に行く,先做；继续,Go ahead and wait at the porch. I'll be there in a minute.,先に行って玄関で待っていてください。すぐに行きます。,你先去门廊等着，我马上到。,go ahead,A,0,0,,,,,
1175,go through ~,熟语,苦難などを経験する,经历……,I went through a lot of difficulties in Mexico.,私はメキシコで大変な苦労を経験しました。,我在墨西哥经历了很多困难。,go through ~,A,0,0,,,,,
1176,go wrong,熟语,物事がうまくいかない；故障する,出问题；出故障,What should I do if something goes wrong during your absence?,あなたがいないときに何かうまくいかない場合は、どうしたらいいですか。,你不在时如果出了问题，我该怎么办？,go wrong,A,0,0,,,,,
1177,graduate from ~,熟语,〜を卒業する,从……毕业,Ken graduated from university in Kyushu and got a job in Tokyo.,ケンは九州で大学を卒業して、東京で就職しました。,Ken 从九州的大学毕业后，在东京找到了工作。,graduate from ~,A,0,0,,,,,
1178,grow up,熟语,成長する,长大；成长,"Susie might grow up to be an author, as she loves writing.",スージーは書くことが大好きなので、ひょっとすると大きくなって作家になるかもしれません。,Susie 喜欢写作，长大后可能会成为作家。,grow up,A,0,0,,,,,
1179,had better do,熟语,〜した方がよい,最好做……,"She is upset, so you had better not tell her the truth now.",彼女は動揺しているから、今、真実を伝えない方がよいです。,她现在很难过，所以你最好不要告诉她真相。,had better do,A,0,0,,,,,
1180,hand in ~,熟语,〜を提出する,提交……,You must hand in your tax form before the end of the month.,月末までに納税申告書を提出しなければなりません。,你必须在月底前提交税务表格。,hand in ~,A,0,0,,,,,
1181,have A in common with B,熟语,Bと共通してAを持つ,与B有A共同点,I have many things in common with him.,私は彼と多くの共通点があります。,我和他有很多共同点。,have A in common with B,A,0,0,,,,,
1182,hear from ~,熟语,〜から便りをもらう,收到……的来信/消息,I haven't heard from Jim since he moved to New York.,ジムがニューヨークに引っ越してから、彼から便りをもらっていません。,自从 Jim 搬到纽约后，我就没有收到他的消息。,hear from ~,A,0,0,,,,,
1183,help A (to) do,熟语,Aが〜するのを助ける,帮助A做……,Learning foreign languages will help you (to) understand other cultures.,外国語を学ぶことは、あなたが他の文化を理解する助けになります。,学习外语会帮助你理解其他文化。,help A (to) do,A,0,0,,,,,
1184,here and there,熟语,あちらこちらに,到处；各处,Empty cans were thrown away here and there on the field.,空き缶が畑のあちらこちらに捨てられていました。,空罐子被扔得到处都是。,here and there,A,0,0,,,,,
1185,in addition to ~,熟语,〜に加えて,除了……之外,"In addition to English, Mr. Nakajima can speak German fluently.",英語に加えて、中島さんはドイツ語も流ちょうに話せます。,除了英语，中岛先生还会流利地说德语。,in addition to ~,A,0,0,,,,,
1186,in advance,熟语,あらかじめ；前もって,事先；提前,I think you had better pay for the ticket in advance.,あらかじめチケット代を支払っておく方がよいと思います。,我认为你最好提前支付票款。,in advance,A,0,0,,,,,
1187,in any case,熟语,とにかく；いずれにせよ,无论如何,"In any case, I'll call him tonight.",とにかく今夜、彼に電話します。,无论如何，我今晚会给他打电话。,in any case,A,0,0,,,,,
1188,in fact,熟语,実は,实际上,"She said she was OK. But in fact, she was badly injured.",彼女は大丈夫と言いました。ところが実際はひどいけがをしていました。,她说自己没事，但实际上受了重伤。,in fact,A,0,0,,,,,
1189,in order to do,熟语,〜するために,为了做……,"In order to get enough water in our bodies, we need to drink at least five glasses of water a day.",体に十分な水分を取るために、私たちは少なくとも1日にコップ5杯の水を飲む必要があります。,为了让身体获得足够水分，我们每天至少需要喝五杯水。,in order to do,A,0,0,,,,,
1190,in particular,熟语,特に,特别是,"This work requires some knowledge of foreign languages, Spanish in particular.",この仕事には外国語、特にスペイン語の知識が必要です。,这项工作需要一些外语知识，尤其是西班牙语。,in particular,A,0,0,,,,,
1191,in return,熟语,お返しに,作为回报,I presented a bunch of roses to her in return for her hospitality.,私はもてなしのお返しに彼女にバラの花束を贈りました。,我送给她一束玫瑰，作为对她款待的回报。,in return,A,0,0,,,,,
1192,in spite of ~,熟语,〜にもかかわらず,尽管……,"In spite of all our efforts, the conference ended in failure.",私たちのあらゆる努力にもかかわらず、その会議は失敗に終わりました。,尽管我们付出了所有努力，会议还是以失败告终。,in spite of ~,A,0,0,,,,,
1193,"in that case, ...",熟语,その場合には,那样的话；在那种情况下,"In that case, maybe I won't go there, either.",その場合には、おそらく私もそこへ行きません。,那样的话，也许我也不会去那里。,"in that case, ...",A,0,0,,,,,
1194,in the beginning of ~,熟语,〜の初めに,在……初期,"In the beginning of the 19th century, the crops in this area suffered serious damage from cold weather.",19世紀初めに、この地域の作物は冷害による深刻な被害を受けました。,在19世纪初，这个地区的农作物因寒冷天气遭受了严重损害。,in the beginning of ~,A,0,0,,,,,
1195,in the long run,熟语,長い目で見れば；結局は,从长远来看,We can say his plan was a success in the long run.,彼の計画は長い目で見れば成功したと言えます。,从长远来看，可以说他的计划成功了。,in the long run,A,0,0,,,,,
1196,in the middle of ~,熟语,〜の真ん中に,在……中间；在……期间,That festival has been held in the middle of winter for a long time.,その祭りは長い間、冬の真っただ中に開かれてきました。,那个节日长期以来一直在隆冬时节举行。,in the middle of ~,A,0,0,,,,,
1197,in the past,熟语,これまでに；昔は,过去；以前,"Whenever he has borrowed things from me in the past, they've come back damaged.",これまで彼が私から借りていったものはいつも、壊れて戻ってきました。,过去每次他从我这里借东西，归还时总是坏的。,in the past,A,0,0,,,,,
1198,in time,熟语,間に合って,及时,"The train was delayed, but we came in time for the meeting.",電車は遅れましたが、私たちは会議に間に合って到着しました。,电车晚点了，但我们及时赶上了会议。,in time,A,0,0,,,,,
1199,instead of ~,熟语,〜の代わりに,代替……；而不是……,"Thanks to computers, more people can work at home instead of at the office.",コンピューターのおかげで、ますます多くの人が会社の代わりに家で働けるようになりました。,多亏了电脑，越来越多的人可以在家而不是在办公室工作。,instead of ~,A,0,0,,,,,
1200,keep [bear] A in mind,熟语,Aを心に留める,记住A；把A放在心上,I'll keep his advice in mind.,私は彼の忠告をよく覚えておきます。,我会把他的建议记在心里。,keep [bear] A in mind,A,0,0,,,,,
1201,keep (on) doing,熟语,〜し続ける,继续做……,They kept (on) singing until a rescue team came.,救助隊が来るまで、彼らは歌い続けました。,他们一直唱歌，直到救援队到来。,keep (on) doing,A,0,0,,,,,
1202,keep up with ~,熟语,〜に遅れないでついていく,跟上……,Keeping up with world events by reading newspapers is very important.,新聞を読んで世界の出来事に遅れずについていくことは非常に大切なことです。,通过读报纸跟上世界大事非常重要。,keep up with ~,A,0,0,,,,,
1203,leave A behind,熟语,Aを置いていく,把A留下；遗留A,A lot of American military jeeps were left behind in the Philippines.,たくさんのアメリカ軍のジープがフィリピンに置き去りにされました。,许多美军吉普车被留在了菲律宾。,leave A behind,A,0,0,,,,,
1204,little by little,熟语,少しずつ,一点一点地；逐渐,"Jerry practiced the piano every day, and little by little he got better.",ジェリーは毎日ピアノを練習して、少しずつうまくなっていきました。,Jerry 每天练习钢琴，一点一点变好了。,little by little,A,0,0,,,,,
1205,look after ~,熟语,〜の世話をする,照顾……,His school decided to look after the kitten and kept it in the teachers' room.,彼の学校はその子猫の世話をすることにし、職員室で飼いました。,他的学校决定照顾那只小猫，并把它养在教师办公室。,look after ~,A,0,0,,,,,
1206,look up ~,熟语,〜を調べる,查阅……,Diane doesn't know many Japanese words. She often looks up new words in the dictionary.,ダイアンは日本語をあまりたくさんは知りません。彼女は知らない単語を辞書でよく調べます。,Diane 不认识很多日语单词，她经常查字典找新词。,look up ~,A,0,0,,,,,
1207,major in ~,熟语,〜を専攻する,主修……,My cousin Teddy majored in French in college and studied in Paris for one year.,いとこのテディは大学でフランス語を専攻し、パリで1年間勉強しました。,我的堂/表兄 Teddy 在大学主修法语，并在巴黎学习了一年。,major in ~,A,0,0,,,,,
1208,make a decision,熟语,決定する；決意する,做决定,It's time for you to make a final decision on this plan.,この計画についてあなたが最終的な決定をする時です。,现在是你对这个计划做出最终决定的时候了。,make a decision,A,0,0,,,,,
1209,make a mistake,熟语,間違える,犯错,"When you're in a hurry, it's easy to make a mistake.",急いでいると、間違いをしやすいです。,着急的时候很容易犯错。,make a mistake,A,0,0,,,,,
1210,make (a) noise,熟语,音を立てる；騒ぎ立てる,发出声音；制造噪音,This vacuum cleaner makes a lot of noise.,この掃除機は非常にうるさい音がします。,这台吸尘器发出很大的噪音。,make (a) noise,A,0,0,,,,,
1211,make friends with ~,熟语,〜と友だちになる,和……交朋友,It took John only one day to make friends with his classmates at the new school.,ジョンは新しい学校でクラスメートと友達になるのに1日しかかかりませんでした。,John 只用了一天就和新学校的同学交上了朋友。,make friends with ~,A,0,0,,,,,
1212,make fun of ~,熟语,〜をからかう,取笑……,Jimmy was accustomed to his friends making fun of him.,ジミーは友達が自分をからかうことには慣れていました。,Jimmy 已经习惯朋友们取笑他。,make fun of ~,A,0,0,,,,,
1213,make one's bed,熟语,ベッドを整える,整理床铺,Be sure to make your bed before leaving this room.,この部屋を出る前に必ずベッドを整えてください。,离开这个房间前一定要整理床铺。,make one's bed,A,0,0,,,,,
1214,make sure (that) ...,熟语,…であることを確実にする,确认……；确保……,"When you leave the room, please make sure (that) you turn off the lights.",部屋を出るときは、必ず明かりを消してください。,离开房间时，请确认把灯关掉。,make sure (that) ...,A,0,0,,,,,
1215,make up one's mind to do,熟语,〜しようと決心する,下定决心做……,Misako made up her mind to keep a diary.,ミサコは日記をつけようと決心しました。,Misako 下定决心写日记。,make up one's mind to do,A,0,0,,,,,
1216,more ~ than S had expected,熟语,Sが思っていたよりももっと〜,比某人预想的更……,That kind of fashion became more popular among young people than we had expected.,その種のファッションは、私たちが思っていた以上に若者の間で人気となりました。,那种时尚在年轻人中变得比我们预想的更受欢迎。,more ~ than S had expected,A,0,0,,,,,
1217,name A after B,熟语,BにちなんでAを名づける,以B命名A,I was named after my grandpa.,私は祖父にちなんで名づけられました。,我是以爷爷的名字命名的。,name A after B,A,0,0,,,,,
1218,neither A nor B,熟语,AでもBでもない,既不A也不B,"To be frank with you, your report is neither good nor bad.",率直に言えば、あなたのレポートは良くも悪くもありません。,坦率地说，你的报告既不好也不坏。,neither A nor B,A,0,0,,,,,
1219,next to ~,熟语,〜の隣に,在……旁边,Next to the river they are building a new industrial area.,その川に隣接して、新しい工業地区が建設されつつあります。,他们正在河边建设一个新的工业区。,next to ~,A,0,0,,,,,
1220,no longer ~,熟语,もはや〜でない,不再……,"Dinosaurs are no longer alive, but we can read about them in books.",恐竜はもはや生きていませんが、それらについて本で読むことができます。,恐龙已经不再活着，但我们可以在书里读到它们。,no longer ~,A,0,0,,,,,
1221,not only A but (also) B,熟语,AばかりでなくBもまた,不仅A而且B,"In the West, bread is not only considered a kind of food, but it is also a symbol for food in general.",西洋では、パンは単に食べ物の一種と考えられているだけでなく、食べ物全般の象徴でもあります。,在西方，面包不仅被认为是一种食物，也被视为食物的象征。,not only A but (also) B,A,0,0,,,,,
1222,on board ~,熟语,〜に乗って,在……上；登上……,"After I got on board the train, I found I had left my wallet behind at home.",電車に乗った後で、財布を家に置き忘れてきたことに気づきました。,上了电车后，我发现把钱包忘在家里了。,on board ~,A,0,0,,,,,
1223,on business,熟语,仕事で,因公；出差,I'm sorry but Mr. Bradley is away on business.,申し訳ありませんが、ブラッドリーさんは仕事で出かけています。,抱歉，Bradley 先生出差了。,on business,A,0,0,,,,,
1224,on foot,熟语,徒歩で,步行,"I usually take the train, but I go on foot when I have time.",普段は電車に乗りますが、時間があるときには歩いて行きます。,我平时坐电车，但有时间时会步行去。,on foot,A,0,0,,,,,
1225,on purpose,熟语,わざと,故意地,"Jack broke his mother's valuable vase, but he didn't do it on purpose, so she wasn't angry.",ジャックは母親の高価な花瓶を割ってしまいましたが、わざとしたのではなかったので、彼女は怒りませんでした。,Jack 打碎了母亲贵重的花瓶，但他不是故意的，所以她没有生气。,on purpose,A,0,0,,,,,
1226,on sale,熟语,売り出し中で,正在出售；特价销售,These items are on sale only during summer.,これらの品物は夏の間だけ販売されています。,这些商品只在夏季出售。,on sale,A,0,0,,,,,
1227,on (the [an]) average,熟语,平均して,平均而言,On (the) average my father works fifty hours a week.,私の父は平均して週に50時間働きます。,我父亲平均每周工作50小时。,on (the [an]) average,A,0,0,,,,,
1228,on time,熟语,時間どおりに,准时,"Whether he comes or not, we will hold the meeting on time.",彼が来ても来なくても、私たちは会議を時間どおりに開きます。,不管他来不来，我们都会准时开会。,on time,A,0,0,,,,,
1229,once in a while,熟语,時々,偶尔,They go to the movies together once in a while.,彼らは時々一緒に映画を見に行きます。,他们偶尔一起去看电影。,once in a while,A,0,0,,,,,
1230,pay for ~,熟语,〜の費用を払う,支付……费用,Ted took a part-time job at his father's company to pay for the trip.,テッドは旅行の費用を払うために父親の会社でアルバイトをしました。,Ted 为了支付旅行费用，在父亲的公司打工。,pay for ~,A,0,0,,,,,
1231,pick A up,熟语,Aを車で迎えにいく/くる,开车接A,He will pick me up at the station tomorrow morning.,明日の朝、彼が駅まで車で迎えに来てくれる予定です。,明天早上他会开车到车站接我。,pick A up,A,0,0,,,,,
1232,pick up ~,熟语,〜を買い求める；〜を入手する,顺便买；取得,"When you go to the bakery, would you pick up some cookies?",パン屋さんに行ったら、クッキーを買ってきてくれますか。,你去面包店的时候，能顺便买些饼干吗？,pick up ~,A,0,0,,,,,
1233,play an important role [part] in ~,熟语,〜で重要な役割を果たす,在……中发挥重要作用,Bob will play an important role in the next school festival.,ボブは今度の学園祭で重要な役割を果たすでしょう。,Bob 将在下一次学校文化节中发挥重要作用。,play an important role [part] in ~,A,0,0,,,,,
1234,plenty of ~,熟语,たくさんの〜,大量；许多,We should drink plenty of water on a hot day.,暑い日にはたくさんの水を飲むべきです。,炎热的日子里我们应该多喝水。,plenty of ~,A,0,0,,,,,
1235,point out ~,熟语,〜を指摘する,指出……,I'd like to point out some problems regarding your suggestion.,あなたの提案に関していくつか問題点を指摘したいと思います。,我想指出与你的建议有关的几个问题。,point out ~,A,0,0,,,,,
1236,prefer A to B,熟语,BよりAを好む,比起B更喜欢A,Nowadays more and more people prefer country life to city life.,今日では都会の暮らしより田舎の暮らしを好む人がますます多くなっています。,如今，越来越多的人比起城市生活更喜欢乡村生活。,prefer A to B,A,0,0,,,,,
1237,provide A with B,熟语,AにBを供給する,向A提供B,Something went wrong with the power plant that provided New York with electricity.,ニューヨークに電気を供給している発電所が故障しました。,向纽约供电的发电厂出了故障。,provide A with B,A,0,0,,,,,
1238,put A away,熟语,Aを片づける,把A收好,Will you put the dishes away in the cupboard?,皿を食器棚にしまってくれますか。,你能把盘子收进橱柜里吗？,put A away,A,0,0,,,,,
1239,put A in order,熟语,Aを整理する,整理A,I put the books in order so that I can find them easily whenever I need them.,必要なときにいつでも簡単に見つけられるように、私は本を整理しました。,为了需要时能轻松找到，我把书整理好了。,put A in order,A,0,0,,,,,
1240,put down ~,熟语,〜を書き留める（= write down ~）,写下；记下,I put down his address in my diary.,私は手帳に彼の住所を書き留めた。,我把他的地址记在了日记本里。,put down an address,A,0,0,,,,,
1241,put off ~,熟语,〜を延期する（= postpone）,延期；推迟,We had to put off the soccer game because of the bad weather.,私たちは悪天候のためにサッカーの試合を延期しなければならなかった。,因为天气不好，我们不得不推迟足球比赛。,put off the game,A,0,0,,,,,
1242,put on ~,熟语,〜を着用する（⇔ take off ~）,穿上；戴上,Put on warm clothes so you won't catch a cold.,風邪をひかないように暖かい服を着なさい。,穿上暖和的衣服，这样就不会感冒。,put on warm clothes,A,0,0,,,,,
1243,put out ~,熟语,（明かり・火）を消す,熄灭；扑灭,Please put out your cigarette before you enter the museum.,博物館に入る前にたばこの火を消してください。,进入博物馆前请把香烟熄灭。,put out a cigarette,A,0,0,,,,,
1244,rely on ~,熟语,〜を信頼する；〜を頼る,信赖；依靠,We rely on Patty because she never breaks her promises.,パティは決して約束を破らないので、私たちは彼女を信頼しています。,我们信赖Patty，因为她从不违背诺言。,rely on someone,A,0,0,,,,,
1245,right away,熟语,直ちに（= at once）,立刻；马上,You should see a doctor right away.,医者にすぐ診てもらうべきだ。,你应该马上去看医生。,right away,A,0,0,,,,,
1246,run over ~,熟语,（車が）〜をひく,撞倒；碾过,My son was almost run over by a car this morning.,私の息子は今朝、危うく車にひかれそうになった。,我儿子今天早上差点被车撞倒。,be run over by a car,A,0,0,,,,,
1247,search A for B,熟语,Bを求めてA（場所）を探す,为了找B而搜索A,Karen searched all over her house for her missing car key.,カレンはなくなった車の鍵を求めて家中を探した。,Karen为了找丢失的车钥匙，把家里到处都找遍了。,search a place for something,A,0,0,,,,,
1248,see if ...,熟语,〜かどうか確かめる,确认是否……,Let's see if swimming every day is good for health.,毎日泳ぐことが健康に良いかどうか確かめてみよう。,让我们确认一下每天游泳是否有益健康。,see if,A,0,0,,,,,
1249,show up,熟语,現れる（= appear）,出现；露面,Only a few people showed up on time for the meeting.,時間どおりに会議に現れたのは、ほんの数人しかいなかった。,只有少数人准时出席了会议。,show up on time,A,0,0,,,,,
1250,slow down,熟语,スピードを落とす,减速；放慢,Slow down. You are driving too fast.,スピードを落としなさい。速く運転し過ぎています。,慢一点。你开得太快了。,slow down,A,0,0,,,,,
1251,so far,熟语,今までのところ；そこまでは（= up to now）,到目前为止,I agree with everything she has said so far.,私は彼女が今まで言ってきたことすべてに賛成する。,我同意她到目前为止所说的一切。,so far,A,0,0,,,,,
1252,so ~ that ...,熟语,とても〜なので…,如此……以至于……,Ellen was so tired that she went to bed early.,エレンはとても疲れていたので早く寝た。,Ellen太累了，所以早早睡觉了。,so tired that,A,0,0,,,,,
1253,"so that A can [will, may] do",熟语,Aが〜できるように；〜するように,为了让A能够……,Kathy spoke clearly so that the audience could understand her well.,キャシーは聴衆がよく理解できるように、はっきりと話した。,Kathy说得很清楚，以便听众能够很好地理解她。,so that A can do,A,0,0,,,,,
1254,something is wrong with ~,熟语,〜はどこか調子が悪い,……有点不对劲；出故障,Something is wrong with this digital camera.,このデジタルカメラは、どこか調子が悪い。,这台数码相机有点不对劲。,something is wrong with,A,0,0,,,,,
1255,sooner or later,熟语,遅かれ早かれ,迟早,"Sooner or later, we'll have to buy a new TV as ours is very old.",今のテレビはとても古いので、遅かれ早かれ新しいテレビを買わなくてはならないだろう。,我们的电视太旧了，迟早得买一台新的。,sooner or later,A,0,0,,,,,
1256,sound like ~,熟语,〜のようだ；〜のように聞こえる,听起来像……,That doesn't sound like a fun way to spend a weekend.,それはどうも週末を楽しく過ごせそうにないね。,那听起来不像是度过周末的有趣方式。,sound like,A,0,0,,,,,
1257,spend A doing,熟语,A（時間）を〜して過ごす,花A时间做……,He spent long hours putting together a plastic model.,彼はプラモデルを組み立てるのに長時間費やした。,他花了很长时间组装塑料模型。,spend time doing,A,0,0,,,,,
1258,stand by ~,熟语,〜を支援する（= support）,支持；站在……一边,"Albert, I hope you'll stand by me if I get in trouble.",アルバート、もし私が困ったら、助けてほしいな。,Albert，如果我遇到麻烦，希望你能支持我。,stand by someone,A,0,0,,,,,
1259,stay in bed,熟语,寝ている,卧床休息,"Since Kevin is sick, he can't go out. He must stay in bed all day today.",ケビンは病気なので外出できない。今日は一日中寝ていなければならない。,Kevin生病了，不能外出。今天他必须整天卧床休息。,stay in bed,A,0,0,,,,,
1260,stay [sit] up late,熟语,夜更かしをする,熬夜,I stayed up late preparing for the examination.,私は試験勉強をして夜更かしをした。,我为了准备考试熬夜了。,stay up late,A,0,0,,,,,
1261,succeed in ~,熟语,〜に成功する（⇔ fail in ~）,成功做到……,My son finally succeeded in climbing to the top of the highest mountain in Canada.,私の息子は、とうとうカナダで一番高い山に登頂することに成功した。,我儿子终于成功登上了加拿大最高的山顶。,succeed in doing,A,0,0,,,,,
1262,such as ~,熟语,〜のような（= like）,例如；像……这样的,"Today, many convenient foods, such as frozen foods and boxed lunches, are gaining popularity.",今日、冷凍食品や弁当のような多くの便利な食品が人気を得ている。,如今，冷冻食品、盒饭等许多方便食品越来越受欢迎。,such as,A,0,0,,,,,
1263,take A back to B,熟语,BへAを返品する,把A退回到B,This shirt is too big for you. I'll take it back to the store.,このシャツはあなたには大き過ぎますね。明日お店に返品します。,这件衬衫对你来说太大了。我明天把它退回商店。,take it back to the store,A,0,0,,,,,
1264,take a look at ~,熟语,〜を見る,看一看……,This map is helpful. Why don't you take a look at it?,この地図は役に立ちます。それを見てみてはどうですか。,这张地图很有用。你看看它怎么样？,take a look at,A,0,0,,,,,
1265,take a seat,熟语,座る,坐下,Welcome. Please take a seat over there and have some tea.,ようこそ。あちらに座ってお茶をどうぞ。,欢迎。请坐在那边喝点茶。,take a seat,A,0,0,,,,,
1266,take after ~,熟语,〜に似ている（= resemble）,像；与……相似,My mother has big blue eyes and I seem to take after her.,私の母は大きな青い目をしていて、私は母に似ているようだ。,我母亲有一双蓝色的大眼睛，我好像长得像她。,take after someone,A,0,0,,,,,
1267,take care of ~,熟语,〜を世話する（= look after ~）,照顾；照料,"I was asked to take care of her baby, but I refused.",彼女の赤ちゃんの面倒を見るように頼まれたが、私は断った。,有人请我照顾她的宝宝，但我拒绝了。,take care of,A,0,0,,,,,
1268,take off ~,熟语,（身につけていた物）を脱ぐ；取る（⇔ put on ~）,脱下；取下,You had better take off your coat in the room.,部屋の中ではコートを脱いだ方がよい。,在房间里你最好脱下外套。,take off your coat,A,0,0,,,,,
1269,take over ~,熟语,〜を引き継ぐ,接管；继承,Adam is supposed to take over the family business.,アダムは家業を継ぐことになっている。,Adam将接管家族事业。,take over the business,A,0,0,,,,,
1270,take part in ~,熟语,〜に参加する,参加……,"If we had been in Venice one month earlier, we could have taken part in the carnival.",もし1か月早くベニスに行っていたら、私たちはカーニバルに参加できただろう。,如果我们早一个月到威尼斯，就能参加狂欢节了。,take part in,A,0,0,,,,,
1271,take place,熟语,行われる；起こる,举行；发生,The graduation ceremony took place on the first of March.,卒業式は3月1日に行われた。,毕业典礼于3月1日举行。,take place,A,0,0,,,,,
1272,tell a lie,熟语,うそをつく,说谎,You can trust Mike. He never tells a lie.,マイクは信用して大丈夫。彼は決してうそはつかないよ。,你可以信任Mike。他从不说谎。,tell a lie,A,0,0,,,,,
1273,thanks to ~,熟语,〜のおかげで,多亏；由于,"Thanks to the amusement park built last year, the city has become popular with tourists.",昨年建設された遊園地のおかげで、その都市は旅行者に人気が出た。,多亏去年建成的游乐园，这座城市开始受游客欢迎。,thanks to,A,0,0,,,,,
1274,That's why ...,熟语,そんなわけで…,所以……；这就是为什么……,That's why the oil prices have been going up recently.,そんなわけで最近、石油の価格が上がっている。,这就是为什么最近石油价格一直上涨。,that's why,A,0,0,,,,,
1275,the first time ...,熟语,初めて…する［した］とき,第一次……的时候,Most people will feel uneasy the first time they use the machine.,初めてその機械を使うとき、たいていの人は不安になるものだ。,大多数人在第一次使用那台机器时都会感到不安。,the first time,A,0,0,,,,,
1276,the instant (that) ...,熟语,…するとすぐに（= as soon as ...）,一……就……,"The instant (that) he saw me, he hurried into his room.",彼は私を見たとたん、自分の部屋にかけ込んだ。,他一看到我，就急忙跑进了自己的房间。,the instant that,A,0,0,,,,,
1277,the way ...,熟语,…のやり方,……的方式,"I like what he says, but I don't like the way he talks.",彼の言っていることは好きだけれど、彼の話し方は好きではない。,我喜欢他说的内容，但不喜欢他说话的方式。,the way he talks,A,0,0,,,,,
1278,There is no doubt (that) ...,熟语,…は間違いない,毫无疑问……,There is no doubt (that) she will pass the entrance examination.,彼女が入試に合格することは間違いない。,毫无疑问，她会通过入学考试。,there is no doubt that,A,0,0,,,,,
1279,these days,熟语,このごろ,近来；这些天,"These days, people usually do all their shopping at a supermarket.",このごろ、人々はたいていスーパーですべての買い物をする。,如今，人们通常在超市完成所有购物。,these days,A,0,0,,,,,
1280,This is because ...,熟语,これは…だからである,这是因为……,Some spiders are dangerous. This is because they have poisons.,危険なクモもいる。これはそれらが毒を持っているからである。,有些蜘蛛很危险，这是因为它们有毒。,this is because,A,0,0,,,,,
1281,throw away ~,熟语,〜を捨てる,扔掉；丢弃,Where should I throw away this empty can?,どこにこの空き缶を捨てたらよいのですか。,我应该把这个空罐子扔到哪里？,throw away,A,0,0,,,,,
1282,to begin with,熟语,まず第一に（= in the first place）,首先；第一,"To begin with, I have to apologize to you.",まず第一に、私はあなたに謝らなければなりません。,首先，我必须向你道歉。,to begin with,A,0,0,,,,,
1283,together with ~,熟语,〜に加えて；〜と一緒に,和……一起；加上……,"Together with Britain, France may ban imports of waste from Germany.",イギリスに加えて、フランスもドイツからの廃棄物の持ち込みを禁止するかもしれない。,除了英国，法国也可能禁止从德国进口废弃物。,together with,A,0,0,,,,,
1284,too ~ to do,熟语,…するには〜過ぎる,太……而不能……,You are too young to go out at night. Stay inside.,君は夜外出するには幼過ぎる。家にいなさい。,你太小了，晚上不能外出。待在家里。,too young to do,A,0,0,,,,,
1285,try one's best,熟语,全力を尽くす（= do one's best）,尽最大努力,I'll try my best on the exam.,試験で全力を尽くします。,我会在考试中尽最大努力。,try one's best,A,0,0,,,,,
1286,turn down ~,熟语,"〜を断る（= refuse, reject）",拒绝；调低,I'm afraid she will turn down my request.,彼女が私の頼みを断るのではないかと心配している。,我担心她会拒绝我的请求。,turn down a request,A,0,0,,,,,
1287,turn on ~,熟语,〜のスイッチを入れる（⇔ turn off ~）,打开；接通,It's getting dark. Would you turn on the light?,暗くなってきました。電気をつけてくれますか。,天黑了。你能开灯吗？,turn on the light,A,0,0,,,,,
1288,turn out to be ~,熟语,〜であることが分かる（= prove to be ~）,结果是；证明是,What the lawyer had told me finally turned out to be false.,弁護士が私に言ったことは、結局うそであることが分かった。,律师告诉我的事情最终被证明是假的。,turn out to be,A,0,0,,,,,
1289,used to do,熟语,以前は〜であった,过去常常；曾经,There used to be a big cherry tree in the garden.,かつては庭に大きな桜の木があった。,以前院子里有一棵很大的樱花树。,used to be,A,0,0,,,,,
1290,wait for ~,熟语,〜を待つ,等待……,This train is too crowded. We had better wait for the next one.,この電車はとても混んでいる。次のを待つ方がよさそうだ。,这列电车太拥挤了。我们最好等下一班。,wait for the next one,A,0,0,,,,,
1291,wake up,熟语,目を覚ます,醒来；叫醒,Kim was so tired that she did not wake up until noon.,キムはとても疲れていたので、お昼まで目が覚めなかった。,Kim太累了，直到中午才醒来。,wake up,A,0,0,,,,,
1292,whether ~ or not,熟语,〜であろうとなかろうと,无论是否……,"Whether you succeed or not, trying your best is important.",成功しようとしまいと、全力を尽くすことが大切だ。,无论你是否成功，尽力都很重要。,whether or not,A,0,0,,,,,
1293,without fail,熟语,必ず；間違いなく,一定；务必,You must hand in your homework by Thursday without fail.,あなたは木曜日までに必ず宿題を提出しなければならない。,你必须在星期四之前务必交作业。,without fail,A,0,0,,,,,
